Province/State	Country	date	recovered
New South Wales	Australia	2020-08-01	3079
Queensland	Australia	2020-08-01	1066
Victoria	Australia	2020-08-01	4479
Western Australia	Australia	2020-08-01	650
South Australia	Australia	2020-08-01	443
Australian Capital Territory	Australia	2020-08-01	110
Tasmania	Australia	2020-08-01	214
Northern Territory	Australia	2020-08-01	31
