Province/State	Country	date	recovered
New South Wales	Australia	2020-08-10	3168
Queensland	Australia	2020-08-10	1072
Victoria	Australia	2020-08-10	6642
Western Australia	Australia	2020-08-10	630
South Australia	Australia	2020-08-10	447
Australian Capital Territory	Australia	2020-08-10	110
Tasmania	Australia	2020-08-10	214
Northern Territory	Australia	2020-08-10	31
