Province/State	Country	date	recovered
New South Wales	Australia	2020-08-22	2994
Queensland	Australia	2020-08-22	1082
Victoria	Australia	2020-08-22	13239
Western Australia	Australia	2020-08-22	633
South Australia	Australia	2020-08-22	452
Australian Capital Territory	Australia	2020-08-22	110
Tasmania	Australia	2020-08-22	214
Northern Territory	Australia	2020-08-22	34
