Province/State	Country	date	recovered
New South Wales	Australia	2020-08-24	2994
Queensland	Australia	2020-08-24	1082
Victoria	Australia	2020-08-24	14077
Western Australia	Australia	2020-08-24	635
South Australia	Australia	2020-08-24	456
Australian Capital Territory	Australia	2020-08-24	110
Tasmania	Australia	2020-08-24	214
Northern Territory	Australia	2020-08-24	34
