Province/State	Country	date	recovered
New South Wales	Australia	2020-06-29	2784
Queensland	Australia	2020-06-29	1059
Victoria	Australia	2020-06-29	1789
Western Australia	Australia	2020-06-29	596
South Australia	Australia	2020-06-29	436
Australian Capital Territory	Australia	2020-06-29	105
Tasmania	Australia	2020-06-29	213
Northern Territory	Australia	2020-06-29	30
