Province/State	Country	date	recovered
Victoria	Australia	2020-04-07	686
Western Australia	Australia	2020-04-07	170
South Australia	Australia	2020-04-07	89
Australian Capital Territory	Australia	2020-04-07	42
Tasmania	Australia	2020-04-07	15
Northern Territory	Australia	2020-04-07	2
Queensland	Australia	2020-04-07	173
New South Wales	Australia	2020-04-07	1351
