Province/State	Country	date	recovered
New South Wales	Australia	2020-08-25	2994
Queensland	Australia	2020-08-25	1082
Victoria	Australia	2020-08-25	14288
Western Australia	Australia	2020-08-25	635
South Australia	Australia	2020-08-25	456
Australian Capital Territory	Australia	2020-08-25	110
Tasmania	Australia	2020-08-25	214
Northern Territory	Australia	2020-08-25	34
