Province/State	Country	date	recovered
New South Wales	Australia	2020-08-15	2994
Queensland	Australia	2020-08-15	1079
Victoria	Australia	2020-08-15	8121
Western Australia	Australia	2020-08-15	632
South Australia	Australia	2020-08-15	449
Australian Capital Territory	Australia	2020-08-15	110
Tasmania	Australia	2020-08-15	214
Northern Territory	Australia	2020-08-15	34
