Province/State	Country	date	recovered
New South Wales	Australia	2020-06-10	2735
Queensland	Australia	2020-06-10	1051
Victoria	Australia	2020-06-10	1602
Western Australia	Australia	2020-06-10	564
South Australia	Australia	2020-06-10	436
Australian Capital Territory	Australia	2020-06-10	104
Tasmania	Australia	2020-06-10	211
Northern Territory	Australia	2020-06-10	30
