Province/State	Country	date	recovered
New South Wales	Australia	2020-07-28	3071
Queensland	Australia	2020-07-28	1063
Victoria	Australia	2020-07-28	3817
Western Australia	Australia	2020-07-28	647
South Australia	Australia	2020-07-28	441
Australian Capital Territory	Australia	2020-07-28	109
Tasmania	Australia	2020-07-28	213
Northern Territory	Australia	2020-07-28	30
