Province/State	Country	date	recovered
New South Wales	Australia	2020-11-22	4280
Queensland	Australia	2020-11-22	1172
Victoria	Australia	2020-11-22	19525
Western Australia	Australia	2020-11-22	772
South Australia	Australia	2020-11-22	514
Australian Capital Territory	Australia	2020-11-22	111
Tasmania	Australia	2020-11-22	215
Northern Territory	Australia	2020-11-22	40
