Province/State	Country	date	recovered
New South Wales	Australia	2020-09-28	3902
Queensland	Australia	2020-09-28	1141
Victoria	Australia	2020-09-28	18942
Western Australia	Australia	2020-09-28	653
South Australia	Australia	2020-09-28	462
Australian Capital Territory	Australia	2020-09-28	110
Tasmania	Australia	2020-09-28	215
Northern Territory	Australia	2020-09-28	34
