Province/State	Country	date	recovered
New South Wales	Australia	2020-10-23	4072
Queensland	Australia	2020-10-23	1155
Victoria	Australia	2020-10-23	19346
Western Australia	Australia	2020-10-23	692
South Australia	Australia	2020-10-23	473
Australian Capital Territory	Australia	2020-10-23	110
Tasmania	Australia	2020-10-23	215
Northern Territory	Australia	2020-10-23	34
