Province/State	Country	date	recovered
New South Wales	Australia	2020-10-02	3939
Queensland	Australia	2020-10-02	1147
Victoria	Australia	2020-10-02	19034
Western Australia	Australia	2020-10-02	654
South Australia	Australia	2020-10-02	464
Australian Capital Territory	Australia	2020-10-02	110
Tasmania	Australia	2020-10-02	215
Northern Territory	Australia	2020-10-02	34
