Province/State	Country	date	recovered
New South Wales	Australia	2020-05-27	2663
Queensland	Australia	2020-05-27	1044
Victoria	Australia	2020-05-27	1539
Western Australia	Australia	2020-05-27	549
South Australia	Australia	2020-05-27	435
Australian Capital Territory	Australia	2020-05-27	104
Tasmania	Australia	2020-05-27	205
Northern Territory	Australia	2020-05-27	30
