Province/State	Country	date	recovered
New South Wales	Australia	2020-05-01	2294
Queensland	Australia	2020-05-01	948
Victoria	Australia	2020-05-01	1291
Western Australia	Australia	2020-05-01	507
South Australia	Australia	2020-05-01	420
Australian Capital Territory	Australia	2020-05-01	103
Tasmania	Australia	2020-05-01	153
Northern Territory	Australia	2020-05-01	25
