Province/State	Country	date	recovered
New South Wales	Australia	2020-07-18	2799
Queensland	Australia	2020-07-18	1059
Victoria	Australia	2020-07-18	2709
Western Australia	Australia	2020-07-18	617
South Australia	Australia	2020-07-18	440
Australian Capital Territory	Australia	2020-07-18	105
Tasmania	Australia	2020-07-18	213
Northern Territory	Australia	2020-07-18	30
