Province/State	Country	date	recovered
New South Wales	Australia	2020-08-31	2994
Queensland	Australia	2020-08-31	1084
Victoria	Australia	2020-08-31	15580
Western Australia	Australia	2020-08-31	641
South Australia	Australia	2020-08-31	458
Australian Capital Territory	Australia	2020-08-31	110
Tasmania	Australia	2020-08-31	214
Northern Territory	Australia	2020-08-31	34
