Province/State	Country	date	recovered
New South Wales	Australia	2020-12-01	4334
Queensland	Australia	2020-12-01	1184
Victoria	Australia	2020-12-01	19525
Western Australia	Australia	2020-12-01	789
South Australia	Australia	2020-12-01	547
Australian Capital Territory	Australia	2020-12-01	112
Tasmania	Australia	2020-12-01	215
Northern Territory	Australia	2020-12-01	47
