Province/State	Country	date	recovered
New South Wales	Australia	2020-09-26	3884
Queensland	Australia	2020-09-26	1141
Victoria	Australia	2020-09-26	18842
Western Australia	Australia	2020-09-26	650
South Australia	Australia	2020-09-26	462
Australian Capital Territory	Australia	2020-09-26	110
Tasmania	Australia	2020-09-26	215
Northern Territory	Australia	2020-09-26	34
