Province/State	Country	date	recovered
New South Wales	Australia	2020-07-03	2789
Queensland	Australia	2020-07-03	1059
Victoria	Australia	2020-07-03	1904
Western Australia	Australia	2020-07-03	598
South Australia	Australia	2020-07-03	436
Australian Capital Territory	Australia	2020-07-03	105
Tasmania	Australia	2020-07-03	213
Northern Territory	Australia	2020-07-03	30
