Province/State	Country	date	recovered
New South Wales	Australia	2020-08-08	3157
Queensland	Australia	2020-08-08	1071
Victoria	Australia	2020-08-08	6066
Western Australia	Australia	2020-08-08	628
South Australia	Australia	2020-08-08	446
Australian Capital Territory	Australia	2020-08-08	110
Tasmania	Australia	2020-08-08	214
Northern Territory	Australia	2020-08-08	31
