Province/State	Country	date	recovered
New South Wales	Australia	2020-09-13	3774
Queensland	Australia	2020-09-13	1107
Victoria	Australia	2020-09-13	17893
Western Australia	Australia	2020-09-13	646
South Australia	Australia	2020-09-13	462
Australian Capital Territory	Australia	2020-09-13	110
Tasmania	Australia	2020-09-13	215
Northern Territory	Australia	2020-09-13	34
