Province/State	Country	date	recovered
New South Wales	Australia	2020-11-25	4296
Queensland	Australia	2020-11-25	1177
Victoria	Australia	2020-11-25	19526
Western Australia	Australia	2020-11-25	774
South Australia	Australia	2020-11-25	515
Australian Capital Territory	Australia	2020-11-25	111
Tasmania	Australia	2020-11-25	215
Northern Territory	Australia	2020-11-25	41
