Province/State	Country	date	recovered
New South Wales	Australia	2020-04-17	1356
Victoria	Australia	2020-04-17	1159
Queensland	Australia	2020-04-17	442
Western Australia	Australia	2020-04-17	340
South Australia	Australia	2020-04-17	308
Australian Capital Territory	Australia	2020-04-17	79
Tasmania	Australia	2020-04-17	57
Northern Territory	Australia	2020-04-17	9
