Province/State	Country	date	recovered
New South Wales	Australia	2020-06-13	2763
Queensland	Australia	2020-06-13	1051
Victoria	Australia	2020-06-13	1632
Western Australia	Australia	2020-06-13	575
South Australia	Australia	2020-06-13	436
Australian Capital Territory	Australia	2020-06-13	104
Tasmania	Australia	2020-06-13	213
Northern Territory	Australia	2020-06-13	30
