Province/State	Country	date	recovered
New South Wales	Australia	2020-09-11	3754
Queensland	Australia	2020-09-11	1094
Victoria	Australia	2020-09-11	17484
Western Australia	Australia	2020-09-11	646
South Australia	Australia	2020-09-11	461
Australian Capital Territory	Australia	2020-09-11	110
Tasmania	Australia	2020-09-11	215
Northern Territory	Australia	2020-09-11	34
