Province/State	Country	date	recovered
New South Wales	Australia	2020-07-08	2797
Queensland	Australia	2020-07-08	1060
Victoria	Australia	2020-07-08	2058
Western Australia	Australia	2020-07-08	602
South Australia	Australia	2020-07-08	436
Australian Capital Territory	Australia	2020-07-08	105
Tasmania	Australia	2020-07-08	213
Northern Territory	Australia	2020-07-08	30
