Province/State	Country	date	recovered
New South Wales	Australia	2020-05-26	2661
Queensland	Australia	2020-05-26	1039
Victoria	Australia	2020-05-26	1533
Western Australia	Australia	2020-05-26	549
South Australia	Australia	2020-05-26	435
Australian Capital Territory	Australia	2020-05-26	104
Tasmania	Australia	2020-05-26	205
Northern Territory	Australia	2020-05-26	30
