Province/State	Country	date	recovered
New South Wales	Australia	2020-10-24	4078
Queensland	Australia	2020-10-24	1157
Victoria	Australia	2020-10-24	19354
Western Australia	Australia	2020-10-24	692
South Australia	Australia	2020-10-24	473
Australian Capital Territory	Australia	2020-10-24	110
Tasmania	Australia	2020-10-24	215
Northern Territory	Australia	2020-10-24	34
