Province/State	Country	date	recovered
New South Wales	Australia	2020-04-11	1356
Victoria	Australia	2020-04-11	926
Queensland	Australia	2020-04-11	372
South Australia	Australia	2020-04-11	225
Western Australia	Australia	2020-04-11	216
Australian Capital Territory	Australia	2020-04-11	62
Tasmania	Australia	2020-04-11	38
Northern Territory	Australia	2020-04-11	2
