Province/State	Country	date	recovered
New South Wales	Australia	2020-09-25	3876
Queensland	Australia	2020-09-25	1141
Victoria	Australia	2020-09-25	18794
Western Australia	Australia	2020-09-25	650
South Australia	Australia	2020-09-25	462
Australian Capital Territory	Australia	2020-09-25	110
Tasmania	Australia	2020-09-25	215
Northern Territory	Australia	2020-09-25	34
