Province/State	Country	date	recovered
New South Wales	Australia	2020-07-19	2799
Queensland	Australia	2020-07-19	1060
Victoria	Australia	2020-07-19	2819
Western Australia	Australia	2020-07-19	617
South Australia	Australia	2020-07-19	440
Australian Capital Territory	Australia	2020-07-19	105
Tasmania	Australia	2020-07-19	213
Northern Territory	Australia	2020-07-19	30
