Province/State	Country	date	recovered
New South Wales	Australia	2020-10-27	4100
Queensland	Australia	2020-10-27	1157
Victoria	Australia	2020-10-27	19370
Western Australia	Australia	2020-10-27	700
South Australia	Australia	2020-10-27	479
Australian Capital Territory	Australia	2020-10-27	110
Tasmania	Australia	2020-10-27	215
Northern Territory	Australia	2020-10-27	34
