Province/State	Country	date	recovered
New South Wales	Australia	2020-07-12	2799
Queensland	Australia	2020-07-12	1058
Victoria	Australia	2020-07-12	2289
Western Australia	Australia	2020-07-12	605
South Australia	Australia	2020-07-12	439
Australian Capital Territory	Australia	2020-07-12	105
Tasmania	Australia	2020-07-12	213
Northern Territory	Australia	2020-07-12	30
