Province/State	Country	date	recovered
New South Wales	Australia	2020-06-17	2770
Queensland	Australia	2020-06-17	1052
Victoria	Australia	2020-06-17	1671
Western Australia	Australia	2020-06-17	592
South Australia	Australia	2020-06-17	436
Australian Capital Territory	Australia	2020-06-17	105
Tasmania	Australia	2020-06-17	213
Northern Territory	Australia	2020-06-17	30
