Province/State	Country	date	recovered
New South Wales	Australia	2020-07-16	2799
Queensland	Australia	2020-07-16	1058
Victoria	Australia	2020-07-16	2591
Western Australia	Australia	2020-07-16	610
South Australia	Australia	2020-07-16	439
Australian Capital Territory	Australia	2020-07-16	105
Tasmania	Australia	2020-07-16	213
Northern Territory	Australia	2020-07-16	30
