Province/State	Country	date	recovered
New South Wales	Australia	2020-10-05	3955
Queensland	Australia	2020-10-05	1148
Victoria	Australia	2020-10-05	19126
Western Australia	Australia	2020-10-05	662
South Australia	Australia	2020-10-05	465
Australian Capital Territory	Australia	2020-10-05	110
Tasmania	Australia	2020-10-05	215
Northern Territory	Australia	2020-10-05	34
