Province/State	Country	date	recovered
New South Wales	Australia	2020-06-07	2719
Queensland	Australia	2020-06-07	1050
Victoria	Australia	2020-06-07	1593
Western Australia	Australia	2020-06-07	559
South Australia	Australia	2020-06-07	436
Australian Capital Territory	Australia	2020-06-07	104
Tasmania	Australia	2020-06-07	211
Northern Territory	Australia	2020-06-07	30
