Province/State	Country	date	recovered
New South Wales	Australia	2020-09-15	3786
Queensland	Australia	2020-09-15	1111
Victoria	Australia	2020-09-15	18079
Western Australia	Australia	2020-09-15	646
South Australia	Australia	2020-09-15	462
Australian Capital Territory	Australia	2020-09-15	110
Tasmania	Australia	2020-09-15	215
Northern Territory	Australia	2020-09-15	34
